,id,host_is_superhost,host_listings_count,host_identity_verified,accommodates,price,number_of_reviews,review_scores_rating,review_scores_location,reviews_per_month
4161,38145058,0,8,1,2,65.0,45,4.82,4.84,1.22
4162,38148283,0,1,1,3,471.0,1,5.0,5.0,0.88
4163,38180494,0,1,1,5,326.0,11,4.2,4.2,0.3
4164,38210851,1,4,1,3,91.0,40,4.93,4.5,1.11
4165,38225761,0,1,1,2,65.0,14,4.79,4.86,0.39
4166,38231106,0,4,1,2,78.0,25,4.72,5.0,0.68
4167,38249885,0,3,0,1,80.0,8,5.0,4.88,0.22
4168,38254392,0,1,1,2,40.0,29,4.79,4.41,0.79
4169,38259069,0,1,0,2,500.0,22,4.95,4.95,0.6
4170,38263048,1,3,1,4,150.0,4,5.0,5.0,0.11
4171,38271868,0,2,1,4,210.0,21,4.9,4.71,0.58
4172,38286821,0,4,1,2,96.0,101,4.71,4.76,2.75
4173,38311860,0,16,1,2,42.0,15,4.67,4.4,0.41
4174,38322404,0,16,1,2,42.0,22,4.55,4.59,0.6
4175,38324113,0,16,1,2,47.0,18,4.89,4.83,0.49
4176,38326009,0,1,1,8,350.0,6,5.0,5.0,0.18
4177,38341798,1,3,1,3,258.0,4,5.0,5.0,0.11
4178,38341978,1,1,1,4,140.0,16,4.94,4.94,0.5
4179,38343712,1,3,1,2,179.0,17,4.94,5.0,0.47
4180,38364439,0,1,1,6,350.0,14,4.64,5.0,0.39
4181,38376958,0,10,1,2,181.0,2,5.0,5.0,0.71
4182,38376990,0,10,1,2,133.0,3,4.33,5.0,0.08
4183,38377028,0,10,1,2,175.0,1,5.0,5.0,0.13
4184,38377069,0,10,1,3,214.0,8,4.75,5.0,0.22
4185,38378119,0,10,1,2,159.0,10,4.7,4.9,0.28
4186,38378194,0,10,1,2,165.0,1,4.0,5.0,0.16
4187,38378226,0,10,1,2,201.0,4,4.75,5.0,0.16
4188,38379053,0,10,1,2,180.0,1,4.0,5.0,0.68
4189,38379097,0,10,1,2,174.0,2,4.5,4.5,0.18
4190,38398420,0,2,1,2,55.0,3,5.0,5.0,0.09
4191,38403821,0,2,1,4,124.0,10,4.9,5.0,0.28
4192,38406934,0,12,1,2,95.0,38,4.47,4.14,1.04
4193,38446778,0,1,1,4,309.0,6,5.0,4.83,3.53
4194,38446976,0,1,0,2,65.0,3,5.0,5.0,0.09
4195,38456538,0,1,0,2,90.0,9,4.89,5.0,0.25
4196,38456556,0,1,0,3,45.0,4,5.0,5.0,0.11
4197,38502708,0,4,1,1,57.0,11,4.73,4.55,0.3
4198,38511385,0,2,1,5,99.0,12,4.83,4.83,0.34
4199,38545622,0,1,1,2,90.0,1,5.0,5.0,1.0
4200,38549095,0,7,1,2,277.0,16,4.63,4.75,0.45
4201,38549639,0,7,1,2,276.0,74,4.51,4.45,2.03
4202,38549645,0,7,1,2,322.0,88,4.58,4.36,2.47
4203,38569093,0,1,1,2,95.0,3,5.0,5.0,0.08
4204,38591969,0,5,1,4,295.0,70,4.61,4.64,1.95
4205,38592004,0,5,1,3,290.0,46,4.76,4.87,1.32
4206,38594322,0,5,1,2,278.0,1,5.0,5.0,0.04
4207,38594350,0,5,1,1,231.0,80,4.65,4.93,2.28
4208,38645199,0,1,1,4,314.0,10,4.9,4.6,0.28
4209,38661447,0,2,0,4,200.0,7,4.86,5.0,0.24
4210,38665136,0,1,0,2,65.0,4,5.0,4.75,0.11
4211,38673785,0,1,0,2,60.0,3,2.5,4.5,0.08
4212,38719671,0,1,0,2,47.0,8,4.75,4.75,0.23
